date,code,open,high,low,close,volume,amount
2022-01-04,sh.000016,3277.6652,3281.7400,3224.3399,3264.0657,2998263700,82422020904.0000
2022-01-05,sh.000016,3259.2059,3289.1578,3244.2134,3254.2793,3706405000,92853893505.0000
2022-01-06,sh.000016,3242.5327,3251.1167,3194.9538,3210.3853,3173040300,85538373290.0000
2022-01-07,sh.000016,3213.2642,3240.7428,3213.2642,3223.2670,4069472400,84494627946.0000
2022-01-10,sh.000016,3217.3451,3237.2168,3197.8997,3236.1163,3338280400,75572955257.0000
2022-01-11,sh.000016,3229.4590,3247.9040,3210.4032,3214.5287,3066642000,72886959332.0000
2022-01-12,sh.000016,3220.1944,3244.2281,3211.2802,3236.3081,3244169300,72452769562.0000
2022-01-13,sh.000016,3243.0468,3247.8173,3182.8465,3184.1069,3478230400,77551956562.0000
2022-01-14,sh.000016,3173.8485,3173.8485,3136.9924,3139.0453,3451703200,73162063371.0000
2022-01-17,sh.000016,3139.4109,3159.1880,3134.0754,3147.6987,2703608500,67786628305.0000
2022-01-18,sh.000016,3147.8455,3198.4731,3137.1120,3187.5244,3505729400,73685209243.0000
2022-01-19,sh.000016,3194.9189,3201.9402,3172.2633,3187.1921,3099126700,68467492152.0000
2022-01-20,sh.000016,3188.1377,3251.2226,3187.6052,3233.7011,4026112700,84699615089.0000
2022-01-21,sh.000016,3227.2023,3234.4671,3202.7321,3218.7352,3233270900,80402355159.0000
2022-01-24,sh.000016,3204.1785,3218.9767,3185.5225,3209.7445,2827422900,63984544626.0000
2022-01-25,sh.000016,3192.1213,3198.1138,3144.7259,3144.9490,3031000600,66217331535.0000
2022-01-26,sh.000016,3156.6496,3169.5290,3126.5452,3163.6743,2418172700,59873017033.0000
2022-01-27,sh.000016,3168.1353,3168.7617,3115.8577,3119.2386,3110144200,74072802636.0000
2022-01-28,sh.000016,3127.1756,3140.2909,3048.3257,3054.0209,3355530500,78774552914.0000
2022-02-07,sh.000016,3102.6201,3129.1928,3096.6882,3114.2603,3647509700,75016344045.0000
2022-02-08,sh.000016,3107.8857,3118.5815,3061.2242,3116.5048,4036531200,75551474145.0000
2022-02-09,sh.000016,3118.9690,3148.2303,3110.8820,3139.5636,3914440300,75034841758.0000
2022-02-10,sh.000016,3145.3284,3146.9643,3125.1126,3145.1126,3650563200,76576786933.0000
2022-02-11,sh.000016,3133.7956,3172.0862,3130.6942,3142.9117,4359771100,94112951336.0000
2022-02-14,sh.000016,3131.3937,3131.8409,3093.6424,3103.9970,3892574500,77244847318.0000
2022-02-15,sh.000016,3101.3643,3126.4234,3097.0829,3119.9276,2931343800,67952249287.0000
2022-02-16,sh.000016,3134.8826,3150.8568,3129.0405,3136.0821,2483496300,54215137342.0000
2022-02-17,sh.000016,3138.7704,3156.8652,3132.0947,3139.1771,2546109500,55771500274.0000
2022-02-18,sh.000016,3126.2777,3162.8215,3121.9540,3162.8215,2387899300,49797086744.0000
2022-02-21,sh.000016,3155.3175,3155.8816,3128.5851,3144.8649,2635931000,48939841235.0000
2022-02-22,sh.000016,3122.0400,3122.2941,3082.3870,3102.3249,3155638900,69347750369.0000
2022-02-23,sh.000016,3108.9033,3120.3431,3094.2068,3118.0376,2968900600,64515388934.0000
2022-02-24,sh.000016,3098.1408,3104.6990,3038.3537,3059.6409,4707185000,97426137102.0000
2022-02-25,sh.000016,3076.8047,3104.8650,3068.1847,3075.5872,3563301800,72606029671.0000
2022-02-28,sh.000016,3069.0995,3081.3569,3049.5570,3080.7774,3066536900,65695577617.0000
2022-03-01,sh.000016,3093.9299,3129.2565,3093.9299,3125.6905,2763798100,69462495964.0000
2022-03-02,sh.000016,3108.6200,3113.3488,3097.8903,3107.2405,2774565200,56242651609.0000
2022-03-03,sh.000016,3117.6482,3124.8919,3090.1975,3097.0887,3705587700,66863790194.0000
2022-03-04,sh.000016,3068.3984,3079.4668,3052.6858,3062.3824,3091675000,67800941533.0000
2022-03-07,sh.000016,3042.0158,3042.0158,2965.2208,2974.6762,4265843700,88830290514.0000
2022-03-08,sh.000016,2983.0484,3005.5560,2920.9692,2933.1637,4105561100,88323419669.0000
2022-03-09,sh.000016,2949.3330,2965.5657,2809.9933,2907.1781,4727191800,97616288978.0000
2022-03-10,sh.000016,2969.4850,2973.6103,2931.0881,2933.4611,3422380000,83598077050.0000
2022-03-11,sh.000016,2897.3427,2944.2497,2852.7886,2935.6840,3645774600,81836077738.0000
2022-03-14,sh.000016,2889.8347,2920.7093,2851.8575,2851.8769,3237405400,79324420620.0000
2022-03-15,sh.000016,2808.7250,2825.5500,2702.8532,2702.8532,5215842000,106705027039.0000
2022-03-16,sh.000016,2746.1498,2836.8464,2688.6950,2827.7497,4811657400,108689747856.0000
2022-03-17,sh.000016,2888.2367,2918.5357,2861.2440,2877.2192,4322726300,108677039185.0000
2022-03-18,sh.000016,2869.7011,2925.7235,2853.7733,2913.1854,4130299600,84518471799.0000
2022-03-21,sh.000016,2919.2616,2919.2616,2868.3956,2892.1069,3048465700,70316061153.0000
2022-03-22,sh.000016,2893.5691,2921.7274,2885.0153,2900.7676,3074521000,63919626341.0000
2022-03-23,sh.000016,2908.9653,2928.4431,2890.4901,2916.5081,3004670000,70411808376.0000
2022-03-24,sh.000016,2898.1436,2918.3029,2885.3722,2903.6170,2773392700,65734831411.0000
2022-03-25,sh.000016,2898.4911,2910.9168,2855.3287,2856.4277,2676999900,62089361442.0000
2022-03-28,sh.000016,2817.2602,2866.0665,2798.6997,2853.1819,3213623900,66834019807.0000
2022-03-29,sh.000016,2854.8023,2873.6111,2837.6965,2842.1531,2365905500,55581348741.0000
2022-03-30,sh.000016,2864.2410,2915.4906,2861.5462,2915.4906,3400523200,76393786218.0000
2022-03-31,sh.000016,2901.0743,2915.5146,2892.1050,2898.8261,3316818000,67509866427.0000
2022-04-01,sh.000016,2886.3607,2954.5094,2877.0654,2943.2437,3396884700,75259308676.0000
2022-04-06,sh.000016,2918.5034,2941.0537,2910.0186,2931.1983,4339490800,80799494558.0000
2022-04-07,sh.000016,2916.8031,2943.2449,2896.7293,2902.4818,3282274200,60185214217.0000
2022-04-08,sh.000016,2903.2396,2929.8910,2889.1975,2925.4913,3623532000,66120327788.0000
2022-04-11,sh.000016,2908.5416,2908.5416,2839.5621,2846.3800,3591882300,74714647533.0000
2022-04-12,sh.000016,2854.2871,2895.5311,2827.6321,2894.2583,3399392600,70111643831.0000
2022-04-13,sh.000016,2881.7352,2914.2016,2871.0549,2882.2788,3114819000,62928747305.0000
2022-04-14,sh.000016,2905.7734,2947.4534,2897.0544,2928.5962,2866772700,65368581614.0000
2022-04-15,sh.000016,2911.1385,2943.6011,2908.5561,2930.5784,2958959500,58519092006.0000
2022-04-18,sh.000016,2902.4437,2902.4437,2875.9617,2887.7208,2910085900,62253363625.0000
2022-04-19,sh.000016,2881.9007,2899.2609,2843.6485,2861.5670,2842842300,63257133223.0000
2022-04-20,sh.000016,2859.6043,2868.5693,2828.2113,2835.3517,2926854100,60404471813.0000
2022-04-21,sh.000016,2821.3586,2848.8249,2784.5575,2797.5293,3285548000,64105129329.0000
2022-04-22,sh.000016,2773.3676,2826.6810,2769.6735,2814.1273,3084168500,59024176537.0000
2022-04-25,sh.000016,2750.5552,2772.5510,2682.5191,2683.4127,4428581300,87101766429.0000
2022-04-26,sh.000016,2685.2740,2729.1870,2667.9130,2681.0281,4030079900,80852212966.0000
2022-04-27,sh.000016,2674.4553,2737.0325,2674.1795,2734.5403,4208586100,85463827421.0000
2022-04-28,sh.000016,2725.6322,2775.0621,2722.2376,2769.7122,3783453000,77001420429.0000
2022-04-29,sh.000016,2772.9461,2820.5527,2742.9722,2805.3359,4141487500,83134127843.0000
2022-05-05,sh.000016,2806.0436,2824.5401,2799.7222,2800.9291,3523176000,71507439498.0000
2022-05-06,sh.000016,2754.9706,2760.4371,2716.1654,2719.7611,2747984600,54914660843.0000
2022-05-09,sh.000016,2706.4171,2716.6576,2679.3090,2695.1325,2189333500,46285228094.0000
2022-05-10,sh.000016,2653.9917,2733.1061,2644.8689,2718.3706,3433016100,66196819956.0000
