date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-01-04,sh.600000,7.24777844,7.28172588,7.23080472,7.27323902,37707647,322145532.4,0.1285,0.4689
2022-01-05,sh.600000,7.27323902,7.36659448,7.26475216,7.33264704,55459135,478834469.92,0.1889,0.8168
2022-01-06,sh.600000,7.34962076,7.34962076,7.26475216,7.27323902,41031062,352720657.09,0.1398,-0.8102
2022-01-07,sh.600000,7.27323902,7.40902878,7.27323902,7.39205506,63018297,546456194.37,0.2147,1.6336
2022-01-10,sh.600000,7.40054192,7.45146308,7.34962076,7.40054192,34055312,296601230.41,0.116,0.1148
2022-01-11,sh.600000,7.41751564,7.45146308,7.37508134,7.40902878,42646106,373093383.74,0.1453,0.1147
2022-01-12,sh.600000,7.4260025,7.4260025,7.32416018,7.37508134,41240670,358535694.14,0.1405,-0.4582
2022-01-13,sh.600000,7.40902878,7.5108711,7.37508134,7.40054192,48923692,429003208.44,0.1667,0.3452
2022-01-14,sh.600000,7.40054192,7.40054192,7.27323902,7.29021274,51060652,440215953.72,0.174,-1.4908
2022-01-17,sh.600000,7.27323902,7.32416018,7.27323902,7.27323902,22177975,190459847.06,0.0756,-0.2328
2022-01-18,sh.600000,7.28172588,7.34962076,7.2562653,7.32416018,39995195,344181260.49,0.1363,0.7001
2022-01-19,sh.600000,7.32416018,7.34962076,7.30718646,7.33264704,26257662,226931296.83,0.0895,0.1159
2022-01-20,sh.600000,7.34962076,7.48541052,7.33264704,7.4684368,82842044,724160482.59,0.2822,1.8519
2022-01-21,sh.600000,7.45146308,7.4684368,7.40054192,7.43448936,47572539,416684184.3,0.1621,-0.4545
2022-01-24,sh.600000,7.45994994,7.45994994,7.34962076,7.37508134,32489722,282465419.05,0.1107,-0.7991
2022-01-25,sh.600000,7.36659448,7.36659448,7.26475216,7.26475216,43312412,372488758.88,0.1476,-1.496
2022-01-26,sh.600000,7.27323902,7.29021274,7.24777844,7.27323902,23481959,201130974.27,0.08,0.1168
2022-01-27,sh.600000,7.2562653,7.26475216,7.1713967,7.1713967,56281031,477716811.34,0.1917,-1.4002
2022-01-28,sh.600000,7.19685728,7.22231786,7.13744926,7.13744926,43993766,372256637.07,0.1499,-0.4734
2022-02-07,sh.600000,7.19685728,7.2562653,7.16290984,7.23080472,39988312,340086709.11,0.1362,1.308
2022-02-08,sh.600000,7.23929158,7.35810762,7.22231786,7.3411339,47572520,409206610.69,0.1621,1.5258
2022-02-09,sh.600000,7.33264704,7.39205506,7.31567332,7.33264704,36223235,313861238.67,0.1234,-0.1156
2022-02-10,sh.600000,7.34962076,7.39205506,7.31567332,7.37508134,28716174,249045193.55,0.0978,0.5787
2022-02-11,sh.600000,7.3835682,7.43448936,7.35810762,7.41751564,37682874,328719166.09,0.1284,0.5754
2022-02-14,sh.600000,7.37508134,7.39205506,7.28172588,7.2986996,34727078,299136397.92,0.1183,-1.6018
2022-02-15,sh.600000,7.29021274,7.32416018,7.23080472,7.2562653,31680750,271300746.95,0.1079,-0.5814
