date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sh.601012,86.48,88.02,82.62,84.86,86.2,88124334,7463050367.9,1.6281,1,-1.5545
2022-01-05,sh.601012,84.8,84.8,81.19,81.47,84.86,63103844,5206534638.71,1.1658,1,-3.9948
2022-01-06,sh.601012,80.0,81.8,79.36,80.55,81.47,43689283,3520049198.14,0.8071,1,-1.1293
2022-01-07,sh.601012,80.71,81.97,79.66,80.27,80.55,48117045,3880542651.15,0.8889,1,-0.3476
2022-01-10,sh.601012,80.4,81.27,79.18,79.7,80.27,40547853,3236932098.59,0.7491,1,-0.7101
2022-01-11,sh.601012,79.4,79.97,77.6,77.98,79.7,53476814,4183417241.73,0.988,1,-2.1581
2022-01-12,sh.601012,78.79,80.66,78.1,80.2,77.98,49716404,3960998762.72,0.9185,1,2.8469
2022-01-13,sh.601012,80.5,80.6,78.5,79.25,80.2,34884375,2766337477.86,0.6445,1,-1.1845
2022-01-14,sh.601012,78.9,80.49,78.29,79.25,79.25,35027029,2776847736.35,0.6471,1,0.0
2022-01-17,sh.601012,80.88,82.41,80.1,81.01,79.25,49900721,4056716935.99,0.9219,1,2.2208
2022-01-18,sh.601012,80.63,81.3,78.99,79.51,81.01,43247028,3461272633.81,0.799,1,-1.8516
2022-01-19,sh.601012,79.19,79.3,77.89,78.51,79.51,34566922,2707394710.74,0.6386,1,-1.2577
2022-01-20,sh.601012,78.0,78.58,77.58,78.2,78.51,28325086,2210017372.23,0.5233,1,-0.3949
2022-01-21,sh.601012,78.0,78.0,75.62,76.0,78.2,58237198,4448835188.26,1.0759,1,-2.8133
2022-01-24,sh.601012,75.5,77.7,73.83,76.54,76.0,50896441,3867749416.46,0.9403,1,0.7105
2022-01-25,sh.601012,75.4,77.0,74.31,74.45,76.54,44192785,3340132477.95,0.8164,1,-2.7306
2022-01-26,sh.601012,75.21,77.7,74.81,77.31,74.45,56634009,4329721561.06,1.0463,1,3.8415
2022-01-27,sh.601012,76.9,77.0,74.3,74.43,77.31,52513701,3960290546.85,0.9702,1,-3.7253
2022-01-28,sh.601012,75.05,75.52,67.2,70.11,74.43,104046797,7340734964.9,1.9222,1,-5.8041
2022-02-07,sh.601012,71.6,74.33,70.91,73.22,70.11,65889467,4810433612.07,1.2173,1,4.4359
2022-02-08,sh.601012,73.2,73.21,69.8,71.86,73.22,48666145,3466510960.76,0.8991,1,-1.8574
2022-02-09,sh.601012,72.08,72.43,70.28,71.18,71.86,46237959,3289853744.5,0.8542,1,-0.9463
2022-02-10,sh.601012,71.5,71.52,67.52,68.5,71.18,79541236,5474501841.33,1.4695,1,-3.7651
2022-02-11,sh.601012,67.0,68.14,64.8,65.15,68.5,102083118,6757660080.02,1.8859,1,-4.8905
2022-02-14,sh.601012,64.74,66.24,63.54,65.33,65.15,56197179,3668216728.63,1.0382,1,0.2763
2022-02-15,sh.601012,65.96,68.81,65.53,68.57,65.33,71562138,4824525031.62,1.3221,1,4.9594
2022-02-16,sh.601012,69.4,69.4,67.7,68.07,68.57,42037344,2871941998.24,0.7766,1,-0.7292
2022-02-17,sh.601012,67.6,70.34,67.36,69.5,68.07,62247780,4334748979.66,1.15,1,2.1008
2022-02-18,sh.601012,69.0,69.3,67.72,68.55,69.5,42451477,2907300629.24,0.7843,1,-1.3669
2022-02-21,sh.601012,68.48,68.88,67.35,68.3,68.55,32603444,2218727040.38,0.6023,1,-0.3647
2022-02-22,sh.601012,67.57,70.18,66.6,69.09,68.3,63348967,4358814443.07,1.1703,1,1.1567
2022-02-23,sh.601012,70.21,72.27,70.03,72.0,69.09,79090998,5649033257.06,1.4612,1,4.2119
2022-02-24,sh.601012,71.65,75.3,71.07,73.05,72.0,108228722,7934986683.23,1.9995,1,1.4583
2022-02-25,sh.601012,75.0,76.25,73.5,74.56,73.05,74417864,5582305873.29,1.3748,1,2.0671
2022-02-28,sh.601012,74.56,77.85,74.15,77.67,74.56,86930420,6647010816.0,1.606,1,4.1711
2022-03-01,sh.601012,80.5,81.86,79.32,80.05,77.67,107707374,8664020992.0,1.9899,1,3.0642
2022-03-02,sh.601012,80.02,80.48,77.27,80.05,80.05,67437341,5331833344.0,1.2459,1,0.0
2022-03-03,sh.601012,80.35,80.63,78.19,78.49,80.05,42857402,3389613936.0,0.7918,1,-1.9488
2022-03-04,sh.601012,76.94,79.4,76.44,77.8,78.49,41125759,3209014192.0,0.7598,1,-0.8791
2022-03-07,sh.601012,76.96,78.77,75.49,76.8,77.8,54183496,4167608880.0,1.001,1,-1.2853
2022-03-08,sh.601012,76.1,79.88,76.1,77.74,76.8,86917816,6821768704.0,1.6058,1,1.224
2022-03-09,sh.601012,79.99,80.9,74.0,78.15,77.74,93353887,7257176576.0,1.7247,1,0.5274
2022-03-10,sh.601012,81.6,82.83,81.2,81.74,78.15,116753823,9573904896.0,2.157,1,4.5937
2022-03-11,sh.601012,80.12,82.3,78.66,80.51,81.74,76791190,6184126464.0,1.4187,1,-1.5048
2022-03-14,sh.601012,80.62,82.78,79.26,79.68,80.51,64085028,5199609856.0,1.1839,1,-1.0309
2022-03-15,sh.601012,78.38,80.76,76.66,77.4,79.68,76187307,5967391232.0,1.4075,1,-2.8614
2022-03-16,sh.601012,79.3,81.2,75.88,81.0,77.4,97703716,7729154560.0,1.805,1,4.6512
2022-03-17,sh.601012,83.0,83.59,80.35,80.72,81.0,93895339,7686029312.0,1.7347,1,-0.3457
2022-03-18,sh.601012,80.4,81.18,78.7,80.68,80.72,44280287,3539321731.32,0.8181,1,-0.0496
2022-03-21,sh.601012,80.79,83.0,80.5,82.59,80.68,66953956,5494079064.96,1.2369,1,2.3674
