date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sz.002460,145.2,145.99,133.9,135.24,142.85,32996879,4534088885.0,3.8393,1,-5.3273
2022-01-05,sz.002460,134.99,135.6,130.09,131.19,135.24,21128914,2788805818.35,2.4584,1,-2.9947
2022-01-06,sz.002460,129.05,134.45,128.18,132.9,131.19,22064186,2899690051.06,2.5672,1,1.3035
2022-01-07,sz.002460,132.0,132.89,125.66,127.84,132.9,27393778,3515546055.85,3.1874,1,-3.8074
2022-01-10,sz.002460,128.5,132.44,127.5,129.06,127.84,20773801,2698438367.09,2.4171,1,0.9543
2022-01-11,sz.002460,129.0,130.75,125.67,127.15,129.06,18819048,2397260294.25,2.1897,1,-1.4799
2022-01-12,sz.002460,129.59,132.5,128.8,131.46,127.15,27256545,3562446003.92,3.1714,1,3.3897
2022-01-13,sz.002460,132.87,132.98,125.8,127.17,131.46,23916271,3056199560.6,2.7827,1,-3.2634
2022-01-14,sz.002460,125.5,129.4,125.35,128.63,127.17,17393880,2221135276.96,2.0238,1,1.1481
2022-01-17,sz.002460,128.06,129.5,125.66,127.49,128.63,16010767,2040978512.52,1.8629,1,-0.8863
2022-01-18,sz.002460,126.99,130.26,125.81,129.43,127.49,18519959,2387677634.69,2.1549,1,1.5217
2022-01-19,sz.002460,128.8,129.2,121.09,123.08,129.43,28873192,3586732628.88,3.3595,1,-4.9061
2022-01-20,sz.002460,122.24,124.65,121.01,121.5,123.08,21673102,2656788751.82,2.5217,1,-1.2837
2022-01-21,sz.002460,120.96,124.95,119.22,122.61,121.5,20452867,2519273131.02,2.3798,1,0.9136
2022-01-24,sz.002460,124.0,134.87,122.63,134.87,122.61,48445231,6335261063.63,5.6368,1,9.9992
2022-01-25,sz.002460,136.95,141.25,135.1,138.01,134.87,57484877,7963547924.56,6.6885,1,2.3282
2022-01-26,sz.002460,139.9,142.56,137.26,138.76,138.01,30305114,4233847876.83,3.5261,1,0.5434
2022-01-27,sz.002460,141.78,142.0,135.82,136.2,138.76,25380091,3515021509.1,2.9531,1,-1.8449
2022-01-28,sz.002460,137.31,138.2,132.5,133.95,136.2,24599115,3322715038.69,2.8622,1,-1.652
2022-02-07,sz.002460,138.0,139.88,132.8,133.89,133.95,24051319,3270189488.81,2.7984,1,-0.0448
2022-02-08,sz.002460,132.68,133.0,122.01,126.26,133.89,33166890,4175091559.82,3.8591,1,-5.6987
2022-02-09,sz.002460,126.01,130.48,122.66,130.0,126.26,23613863,3012035533.52,2.7475,1,2.9621
2022-02-10,sz.002460,129.77,131.5,126.27,131.1,130.0,23530640,3041080723.33,2.7379,1,0.8462
2022-02-11,sz.002460,131.1,138.36,128.52,133.01,131.1,34563174,4653474530.39,4.0215,1,1.4569
2022-02-14,sz.002460,132.1,139.1,130.44,136.5,133.01,27046115,3684929803.49,3.1469,1,2.6239
2022-02-15,sz.002460,136.8,139.0,133.5,138.63,136.5,25035373,3426096176.03,2.9129,1,1.5604
2022-02-16,sz.002460,141.0,143.68,138.59,139.83,138.63,27602353,3892191585.19,3.2116,1,0.8656
2022-02-17,sz.002460,141.73,151.72,139.04,149.15,139.83,47584214,7006396071.36,5.5366,1,6.6652
2022-02-18,sz.002460,147.07,149.12,144.72,145.91,149.15,26947521,3945736235.87,3.1354,1,-2.1723
2022-02-21,sz.002460,146.16,147.8,144.01,145.65,145.91,19499484,2836382164.81,2.2688,1,-0.1782
2022-02-22,sz.002460,150.0,152.32,148.13,150.71,145.65,35149045,5281941947.81,4.0897,1,3.4741
2022-02-23,sz.002460,149.31,153.22,149.0,151.88,150.71,25229324,3817228766.0,2.9355,1,0.7763
2022-02-24,sz.002460,149.7,152.76,144.03,146.99,151.88,30857680,4562436570.16,3.5904,1,-3.2196
2022-02-25,sz.002460,150.0,152.1,147.82,149.73,146.99,20034583,3007444467.05,2.3311,1,1.8641
2022-02-28,sz.002460,149.0,153.09,148.01,151.41,149.73,20618212,3120985392.0,2.399,1,1.122
2022-03-01,sz.002460,152.0,152.29,143.34,146.0,151.41,34238460,5030503936.0,3.9838,1,-3.5731
2022-03-02,sz.002460,146.11,147.78,143.11,146.75,146.0,19745760,2876327008.0,2.2975,1,0.5137
2022-03-03,sz.002460,147.59,147.6,143.33,143.62,146.75,15486742,2244284496.0,1.8019,1,-2.1329
2022-03-04,sz.002460,144.75,145.78,140.6,141.45,143.62,20234906,2895797760.0,2.3544,1,-1.5109
2022-03-07,sz.002460,140.0,141.85,135.58,136.68,141.45,22183942,3070995328.0,2.5812,1,-3.3722
2022-03-08,sz.002460,137.0,137.95,123.8,124.0,136.68,41623702,5339839232.0,4.843,1,-9.2771
2022-03-09,sz.002460,125.86,126.27,117.98,124.38,124.0,30129828,3708933664.0,3.5057,1,0.3065
2022-03-10,sz.002460,130.58,131.0,126.0,128.29,124.38,28241478,3628861744.0,3.286,1,3.1436
2022-03-11,sz.002460,125.0,128.05,123.35,127.45,128.29,19005887,2390529968.0,2.2114,1,-0.6548
2022-03-14,sz.002460,125.5,128.29,123.68,124.5,127.45,19482741,2442253072.0,2.2669,1,-2.3146
2022-03-15,sz.002460,124.39,129.96,122.2,125.5,124.5,36112436,4579878656.0,4.2018,1,0.8032
2022-03-16,sz.002460,128.0,130.88,122.85,129.3,125.5,37413415,4778555904.0,4.3532,1,3.0279
2022-03-17,sz.002460,131.0,132.12,127.01,127.76,129.3,33976411,4407330560.0,3.9533,1,-1.191
2022-03-18,sz.002460,126.63,127.7,123.76,127.01,127.76,19855989,2501516527.09,2.3103,1,-0.587
2022-03-21,sz.002460,126.36,132.43,125.1,129.98,127.01,25066416,3249556543.27,2.9166,1,2.3384
2022-03-22,sz.002460,129.9,133.8,128.5,130.01,129.98,19533859,2557478936.31,2.2728,1,0.0231
2022-03-23,sz.002460,131.18,131.2,127.5,129.48,130.01,17652637,2277814545.89,2.0539,1,-0.4077
2022-03-24,sz.002460,129.48,131.2,126.02,129.7,129.48,17555030,2259905450.48,2.0426,1,0.1699
2022-03-25,sz.002460,129.99,132.19,127.04,128.35,129.7,19960082,2590143482.15,2.3224,1,-1.0409
2022-03-28,sz.002460,126.5,127.96,121.8,123.47,128.35,18527100,2293386382.61,2.1557,1,-3.8021
2022-03-29,sz.002460,124.26,126.23,122.03,124.32,123.47,15836058,1967385990.19,1.8426,1,0.6884
2022-03-30,sz.002460,124.99,130.92,124.5,129.66,124.32,24458101,3148259718.94,2.8458,1,4.2954
2022-03-31,sz.002460,130.85,131.58,123.63,125.65,129.66,25247268,3196562700.66,2.9376,1,-3.0927
2022-04-01,sz.002460,124.5,130.88,124.5,128.53,125.65,21493377,2759568851.67,2.5008,1,2.2921
2022-04-06,sz.002460,130.5,130.5,125.51,126.81,128.53,19462475,2465488507.27,2.2645,1,-1.3382
2022-04-07,sz.002460,125.0,130.06,123.65,127.65,126.81,23703745,3014029265.46,2.758,1,0.6624
2022-04-08,sz.002460,127.66,128.21,122.67,123.68,127.65,22013096,2737574701.81,2.5613,1,-3.1101
2022-04-11,sz.002460,121.82,121.82,111.99,112.0,123.68,38992743,4451315587.91,4.5369,1,-9.4437
