date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sz.300014,124.0,124.0,110.55,111.54,118.18,37648997,4298704195.33,2.048,1,-5.6185
2022-01-05,sz.300014,111.5,111.54,105.85,107.5,111.54,36865481,3975647377.69,2.0054,1,-3.622
2022-01-06,sz.300014,106.0,107.77,103.5,105.6,107.5,25605789,2709958875.46,1.3929,1,-1.7674
2022-01-07,sz.300014,106.4,108.22,103.01,105.39,105.6,25901017,2732433567.0,1.4089,1,-0.1989
2022-01-10,sz.300014,105.05,106.3,102.5,103.7,105.39,26420992,2755853477.6,1.4372,1,-1.6036
2022-01-11,sz.300014,103.85,106.16,103.5,105.97,103.7,32767166,3442559515.79,1.7824,1,2.189
2022-01-12,sz.300014,109.15,110.3,105.5,109.0,105.97,43026320,4647322975.21,2.3405,1,2.8593
2022-01-13,sz.300014,108.5,109.78,103.57,107.54,109.0,28415579,3045605703.26,1.5457,1,-1.3394
2022-01-14,sz.300014,107.59,112.54,105.99,112.2,107.54,27526841,3056815974.17,1.4974,1,4.3333
2022-01-17,sz.300014,111.4,113.86,107.98,109.68,112.2,30068413,3301904578.53,1.6356,1,-2.246
2022-01-18,sz.300014,108.85,109.36,106.09,107.37,109.68,25536768,2745756473.65,1.3891,1,-2.1061
2022-01-19,sz.300014,107.5,107.5,97.66,98.98,107.37,53295330,5354823008.96,2.8991,1,-7.8141
2022-01-20,sz.300014,98.98,99.55,95.02,95.7,98.98,33851384,3270192800.71,1.8414,1,-3.3138
2022-01-21,sz.300014,97.68,99.26,95.27,97.3,95.7,23420401,2280805031.86,1.274,1,1.6719
2022-01-24,sz.300014,96.08,100.97,95.77,99.99,97.3,27253492,2704781265.66,1.4825,1,2.7646
2022-01-25,sz.300014,99.0,101.8,97.77,97.77,99.99,18282116,1814179740.43,0.9945,1,-2.2202
2022-01-26,sz.300014,98.5,100.2,97.79,99.02,97.77,22440274,2220969240.97,1.2207,1,1.2785
2022-01-27,sz.300014,98.88,99.73,95.29,95.3,99.02,18467003,1793815810.4,1.0045,1,-3.7568
2022-01-28,sz.300014,96.0,97.5,93.0,93.27,95.3,20746452,1964912095.2,1.1285,1,-2.1301
2022-02-07,sz.300014,96.5,99.36,93.66,94.3,93.27,21177310,2029011264.29,1.152,1,1.1043
2022-02-08,sz.300014,95.01,95.35,87.0,89.4,94.3,34040538,3035319855.29,1.8517,1,-5.1962
2022-02-09,sz.300014,90.46,92.04,86.86,91.28,89.4,27317213,2456108817.26,1.486,1,2.1029
2022-02-10,sz.300014,92.47,92.64,84.48,85.87,91.28,37161129,3219025051.94,2.0214,1,-5.9268
2022-02-11,sz.300014,84.7,88.15,83.11,84.38,85.87,32574145,2792011991.52,1.7719,1,-1.7352
2022-02-14,sz.300014,83.2,85.69,82.11,83.5,84.38,28715699,2410046819.74,1.5609,1,-1.0429
2022-02-15,sz.300014,85.0,88.49,83.6,87.66,83.5,33013153,2850246797.75,1.7945,1,4.982
2022-02-16,sz.300014,88.39,88.6,85.41,86.12,87.66,23155738,2017380632.17,1.2587,1,-1.7568
2022-02-17,sz.300014,87.18,92.24,84.68,88.83,86.12,54868061,4867432762.04,2.9825,1,3.1468
2022-02-18,sz.300014,87.02,87.5,84.38,85.27,88.83,36167533,3094340754.38,1.966,1,-4.0077
2022-02-21,sz.300014,85.14,87.4,84.58,85.85,85.27,26563909,2277722530.72,1.4439,1,0.6802
2022-02-22,sz.300014,84.98,86.5,82.68,85.65,85.85,35986671,3038602869.86,1.9561,1,-0.233
2022-02-23,sz.300014,85.79,89.87,85.7,89.08,85.65,46361876,4091732750.27,2.5201,1,4.0047
2022-02-24,sz.300014,87.78,89.08,84.84,85.99,89.08,38819602,3370892754.72,2.1101,1,-3.4688
2022-02-25,sz.300014,88.0,90.88,87.7,89.35,85.99,46698871,4168840140.64,2.5384,1,3.9074
2022-02-28,sz.300014,89.56,91.17,88.23,89.5,89.35,39616188,3544722176.0,2.1534,1,0.1679
2022-03-01,sz.300014,91.0,91.95,86.28,86.9,89.5,43311735,3832011152.0,2.3543,1,-2.905
2022-03-02,sz.300014,86.79,86.9,83.84,84.23,86.9,37075881,3143884512.0,2.0153,1,-3.0725
2022-03-03,sz.300014,84.5,84.6,79.3,79.51,84.23,62055575,5010489088.0,3.3732,1,-5.6037
2022-03-04,sz.300014,77.77,79.76,77.37,78.15,79.51,39632815,3101033648.0,2.1543,1,-1.7105
2022-03-07,sz.300014,77.99,78.0,74.5,74.79,78.15,36682406,2781301008.0,1.994,1,-4.2994
2022-03-08,sz.300014,75.22,75.68,70.67,71.37,74.79,48400859,3512851696.0,2.6309,1,-4.5728
2022-03-09,sz.300014,72.0,72.64,67.61,70.49,71.37,41287370,2895569216.0,2.2443,1,-1.233
2022-03-10,sz.300014,73.48,75.57,71.5,75.15,70.49,69958731,5168216576.0,3.8028,1,6.6109
2022-03-11,sz.300014,74.1,77.98,73.34,76.31,75.15,57112111,4302578944.0,3.1044,1,1.5436
2022-03-14,sz.300014,73.99,74.0,71.13,71.44,76.31,41090639,2964007056.0,2.2335,1,-6.3819
2022-03-15,sz.300014,70.2,74.3,69.69,70.92,71.44,42157703,3052500912.0,2.2915,1,-0.7279
2022-03-16,sz.300014,73.0,80.19,71.46,78.89,70.92,80769714,6112137216.0,4.3903,1,11.238
2022-03-17,sz.300014,82.69,86.12,81.38,81.53,78.89,86134131,7178983680.0,4.6819,1,3.3464
2022-03-18,sz.300014,82.31,85.15,79.04,84.7,81.53,51829026,4240404128.59,2.8172,1,3.8881
2022-03-21,sz.300014,87.0,88.5,85.03,85.4,84.7,48692421,4229438671.09,2.6467,1,0.8264
